talk_page_id	talk_revision_id	talk_page_title	article_page_id	article_revision_id	rating	is_training	num_inlinks	num_views
11419	763125860	Ferrari	11225	768825520	Top	1	2225	3518.785714285714
11533	758527468	Freemasonry	11227	764592337	Top	0	3581	10065.857142857143
12022	761754278	Greek_alphabet	715909	765701512	Top	1	2005	10478.607142857143
12723	760156160	Genetic_code	12385	768975430	Top	1	468	1384.0357142857142
13128	767560211	Glass	12581	767872078	Top	1	2459	2553.1071428571427
13759	688642814	History_of_physics	13758	767660082	Top	1	141	420.82142857142856
15914	762239851	Judaism	15624	768939426	Top	0	8406	5996.821428571428
16084	762728292	Society_of_Jesus	16083	768961683	Top	1	5767	2567.1428571428573
17343	741779445	Kalahari_Desert	17165	768148482	Top	1	418	1072.392857142857
17540	579844354	Linnaean_taxonomy	17539	764689146	Top	0	251	522.4642857142857
17916	768413053	Led_Zeppelin	17909	768933109	Top	1	3923	7737.357142857143
18833	767044769	Mathematics	18831	768433571	Top	1	15961	5514.142857142857
19663	688642494	Molecular_orbital	19614	760353905	Top	1	210	426.0357142857143
19744	756595202	Maxwell's_equations	19737	768594830	Top	1	606	2714.1428571428573
19884	746909542	Mineralogy	19883	764884019	Top	1	1229	263.92857142857144
20562	747199267	Mandarin_Chinese	19359	768395408	Top	0	3649	2028.2857142857142
20917	730502916	Manga	18985	768722167	Top	1	7783	3180.214285714286
21208	762545005	Nobel_Prize	21201	767899004	Top	1	3873	3759.3571428571427
21372	766983058	Nicaragua	21362	768882385	Top	1	10571	3577.9285714285716
21420	768821815	Norway	21241	768720288	Top	1	62307	10006.642857142857
21510	758488069	New_Testament	21433	767353384	Top	1	7102	2659.785714285714
22470	767964894	Oxygen	22303	767814249	Top	1	6542	5146.928571428572
22601	747067859	O_Canada	22504	767798899	Top	1	448	1923.5357142857142
23182	763753247	Poker	23014	768974691	Top	1	1926	2129.035714285714
23518	734814739	Paleontology	23084	768741213	Top	1	2295	1274.9285714285713
23753	764391149	Polish_language	22975	766404271	Top	1	11377	2380.6071428571427
24173	660502286	Philosophy_of_religion	23003	763413965	Top	1	1175	294.89285714285717
24404	730746160	Presbyterianism	24403	767891048	Top	1	2703	2478.3214285714284
25478	751811649	Role-playing_game	25475	767011660	Top	0	4090	1075.9642857142858
25800	612429784	Retrovirus	25799	766932601	Top	1	864	1217.4285714285713
26231	759408810	Rembrandt	4254144	767211126	Top	1	1700	2878.285714285714
26505	523355540	Reconstructionist_Judaism	26037	767772619	Top	1	1079	332.0357142857143
26856	766067899	Sport	25778403	768887659	Top	1	2519	3682.75
27420	763738124	Sri_Lanka	26750	768902816	Top	1	27295	9133.25
27496	738885698	Stop_motion	27036	767128545	Top	1	1178	1031.9642857142858
27920	757428870	Social_science	26781	767612763	Top	1	1570	2552.535714285714
28137	721025999	Slovene_language	28135	765699415	Top	0	4735	744.25
28193	752998194	Snow	28191	768969746	Top	1	1521	1385.0
28689	739492280	Summer_Olympic_Games	27566	768150685	Top	1	2813	2301.1785714285716
29254	750668967	Sexual_orientation	29252	766975337	Top	1	2032	2339.8214285714284
29270	696507447	Sculpture	26714	767752825	Top	1	5478	1503.107142857143
29362	688024107	Sinhalese_people	29359	766695651	Top	1	626	715.1428571428571
29488	756916899	Skyscraper	29485	768630075	Top	1	3403	1671.8214285714287
29548	732129553	Second_Vatican_Council	28134	768329761	Top	1	3195	1185.6785714285713
30300	766036484	Technology	29816	768915739	Top	1	5511	4605.892857142857
30303	767953648	The_Beatles	29812	768873306	Top	0	10829	14188.714285714286
30421	759630855	Theory_of_relativity	30001	765004874	Top	0	1114	2691.3571428571427
30779	760438422	Tennis	29773	766145202	Top	1	20352	2943.4285714285716
31138	736671345	Talmud	30345	768025641	Top	1	3466	2165.535714285714
31721	768652905	United_Kingdom	31717	768965222	Top	0	201345	27272.39285714286
32474	749916522	Vaccination	32473	768693221	Top	0	932	1296.9285714285713
32536	716804053	Vitamin	32512	767038046	Top	0	1496	3594.964285714286
32702	730831742	Vietnamese_language	32511	767172221	Top	1	3723	1476.5714285714287
32832	767161967	Vincent_van_Gogh	32603	768023639	Top	1	1549	10320.67857142857
33981	755864255	Weather	33978	768236287	Top	1	1153	1562.5714285714287
37263	768619038	African_Americans	2154	768668954	Top	1	2132	2743.5
38336	717843958	Opera	22348	768973795	Top	1	8915	7759.571428571428
39171	760030208	Zodiac	34411	768663316	Top	0	873	5322.142857142857
39941	765795388	Brazil	3383	768805832	Top	1	97969	11065.92857142857
43053	765623341	Irreducible_complexity	15387	768717430	Top	0	73	250.35714285714286
43639	768262229	Motel	21058	767463412	Top	1	595	577.3928571428571
44094	762893999	Computer_programming	5311	768862910	Top	1	1772	2522.8928571428573
45147	764245869	CP/M	45146	767209350	Top	1	652	571.9642857142857
45245	766905193	Adventures_of_Huckleberry_Finn	14311	768940124	Top	1	348	2334.1428571428573
45461	753409209	Monopoly	18878	768404157	Top	0	1826	2127.035714285714
45898	652989915	Environment	37039	763299435	Top	1	24	940.9285714285714
46032	759919643	Green	12460	765558268	Top	1	2502	1481.3214285714287
46071	765595930	Beetle	7044	768664894	Top	1	38813	1537.142857142857
50651	763302750	Astronomy	50650	768203557	Top	1	4913	2487.214285714286
51615	760581028	Left-wing_politics	18499	768728295	Top	0	2699	3302.5
54354	756089925	Iron_Curtain	18953051	767989499	Top	1	1360	1721.607142857143
54700	768524430	Fictional_universe	83932	768524337	Top	0	941	304.2857142857143
55324	768948369	Jews	25955086	768977229	Top	0	6523	6063.285714285715
56289	740257463	Jana_Gana_Mana	56280	768696393	Top	1	291	3098.6785714285716
57405	732786996	Yangon	57404	767841088	Top	1	1885	2227.1428571428573
57810	754536524	Pasta	23871	768313879	Top	0	911	2290.1428571428573
59250	760103380	Haredi_Judaism	53835	768683177	Top	1	1476	1044.8214285714287
60304	762969395	Saxophone	26795	764633707	Top	1	6200	1909.0714285714287
62306	737877320	Kingdom_(biology)	53664	767835841	Top	1	1358	2431.3571428571427
62518	676423274	Willie_Mays	62512	768275859	Top	1	1542	1130.8214285714287
63877	758263752	History_of_the_United_States	63876	768855900	Top	1	1609	2888.714285714286
63917	768413931	China	5405	768855625	Top	1	93114	21844.35714285714
63970	757456880	Lord's_Prayer	18494	768786292	Top	0	1424	5159.25
64990	760450182	Psalms	24203	768213763	Top	1	1920	1357.8214285714287
65499	734325561	Contract_bridge	3995	768088032	Top	1	1345	1249.357142857143
65763	676516301	Epistolary_novel	10011	768481385	Top	1	558	864.6428571428571
66000	742812200	Spice	26897	768723564	Top	1	1119	1503.75
66261	746391172	Soft_drink	27061	768681912	Top	0	1243	1581.9285714285713
66557	739970222	Political_status_of_Taiwan	66555	768873942	Top	1	1094	849.6071428571429
66595	737308523	History_of_Europe	13212	768947846	Top	1	719	1072.142857142857
67380	740824989	Yekaterinburg	66524	767169774	Top	1	1589	1207.6785714285713
67691	762923272	South_Vietnam	59756	768351151	Top	0	3338	1260.1785714285713
68083	726766043	Cognitive_psychology	5961	763422454	Top	0	1235	1000.25
68362	751543646	Community	5695	765958352	Top	0	1405	1374.7142857142858
69194	768063835	Fast_food	360101	768466194	Top	0	1588	1919.25
70171	762496154	Indigenous_Australians	12598742	768141446	Top	1	3330	2428.5714285714284
70427	767878036	Symphony_No._9_(Beethoven)	3436	768842376	Top	1	682	1456.7142857142858
71492	698597245	National_Baseball_Hall_of_Fame_and_Museum	4078	767283643	Top	0	2374	537.6071428571429
71993	767422362	Breakfast	68768	768602456	Top	1	531	1170.642857142857
72349	714476567	Kohen	72346	764733520	Top	1	824	458.92857142857144
73684	595267250	History_of_Austria	39477	767613950	Top	1	2562	374.14285714285717
75492	745116110	The_Beatles_(album)	75350	768771112	Top	1	584	2302.0
76076	725557134	Islamic_eschatology	15513	768323466	Top	1	1513	754.5
76618	748938580	Buster_Keaton	43055	767218992	Top	1	1220	1985.4285714285713
77061	767880897	Anime	800	767882423	Top	0	9501	5767.535714285715
78519	768303027	Quicksort	3268249	768134661	Top	1	146	3361.6071428571427
82544	719262290	International_relations	82533	767825836	Top	1	2725	1654.9642857142858
82994	756400468	List_of_Interstate_Highways	76180	768772031	Top	1	611	471.67857142857144
84794	754736474	Physician	23315	768251614	Top	1	7556	1954.2857142857142
86798	737083790	List_of_time_periods	86760	768827951	Top	1	102	2251.035714285714
87342	758368683	Great_Pyramid_of_Giza	12224	768525288	Top	1	531	6156.5
87444	734747246	Sichuan	65185	767720847	Top	1	4737	1146.607142857143
87534	763735523	Bavaria	3764	768559107	Top	1	11818	3265.75
88153	758978160	Lake_District	143752	767868211	Top	1	1501	1347.5714285714287
90197	727715354	Gymnastics	12551	768940915	Top	1	3510	1834.75
91224	747522431	Underworld	84369	767995365	Top	1	647	772.6428571428571
92401	754682718	Writer	45353	767305767	Top	0	3584	654.2142857142857
97188	730896862	Library	17727	766977583	Top	1	4008	1978.5357142857142
97530	763918787	Palestinian_territories	96665	768827938	Top	1	1494	1398.9285714285713
97539	729485296	Cocktail	7599	761270968	Top	1	673	1309.7142857142858
98354	753209419	Pain	24373	766829710	Top	0	1519	1306.7857142857142
98618	568658128	Iberia_(disambiguation)	39596	749441634	Top	0	7	65.32142857142857
98919	751230952	Demographics_of_Benin	68975	757976061	Top	1	112	30.785714285714285
102340	726550658	Cinema_of_China	10791	768801649	Top	1	913	419.64285714285717
105225	758726229	Stellar_evolution	27980	768349742	Top	0	2135	933.1785714285714
113133	637805636	Distributed_computing	8501	762887036	Top	1	940	1276.5
118565	754788322	Diving	8402	765960892	Top	1	3098	585.9285714285714
123423	693473204	Hispaniola	13714	768857509	Top	1	1715	1289.357142857143
123457	732411499	Philosophy_of_physics	123450	766213117	Top	1	603	173.71428571428572
125288	746769974	Czechoslovakia	5322	767386353	Top	1	20789	3229.8928571428573
128044	767482316	Central_Europe	5188	767505132	Top	1	2636	1214.892857142857
129239	712176828	Cipher	5244	761159891	Top	1	399	897.3214285714286
141164	768648691	Floating-point_arithmetic	11376	768649830	Top	1	55	36.07142857142857
142324	760987579	Torah	30343	768865791	Top	1	3259	2920.75
142730	742521144	Music_of_India	14535	767545618	Top	1	1021	914.7857142857143
142925	763345451	Murder	20171	768209889	Top	1	4301	1756.7142857142858
145566	743888695	Miguel_de_Cervantes	19444	768322587	Top	0	763	1342.4642857142858
146074	686618463	Highway_61_Revisited	145975	767592528	Top	1	420	644.4285714285714
146301	535846852	Amplifier_figures_of_merit	3214	721311273	Top	1	9	29.428571428571427
147648	766466836	University_of_California,_Berkeley	31922	768848984	Top	1	10814	2819.1785714285716
148400	731189617	Ice_cream	48212	768866070	Top	1	1278	2305.5
149994	594152891	Lathe	149993	763456603	Top	0	391	1354.1785714285713
150073	719445605	History_of_Pakistan	23362	768887721	Top	1	824	806.0
151504	738957602	Bolivia	3462	767937422	Top	1	18217	4197.357142857143
152360	726393846	Integral	15532	768928609	Top	1	938	1976.5357142857142
152667	736028607	Orthodox_Judaism	22518	768683363	Top	0	3063	1363.7142857142858
154982	722005309	New_Zealand_national_rugby_union_team	154957	768165876	Top	1	2892	1800.107142857143
157591	655293591	Michigan_State_Trunkline_Highway_System	23554903	768633078	Top	1	609	59.67857142857143
158027	707289100	Kingdom_of_Great_Britain	158019	767048953	Top	1	7587	2210.535714285714
161379	739162642	Methodism	20119	768289652	Top	0	4044	2256.8928571428573
161598	757818714	Australian_Defence_Force	67538	768147010	Top	1	1241	804.5714285714286
163578	739347695	Governor-General_of_New_Zealand	4618604	762949694	Top	1	1062	206.28571428571428
163864	762260703	The_Wall	149116	768707091	Top	0	623	2940.3571428571427
165631	734161876	History_of_Burkina_Faso	42543	766721736	Top	0	286	70.46428571428571
165788	757472172	Thomas_Sankara	165553	768799551	Top	0	420	808.8214285714286
165879	720966679	Ijtihad	165834	765637237	Top	1	469	332.64285714285717
166218	750008540	Linguistic_anthropology	166208	764725158	Top	1	379	243.5
166582	685749031	Ulama	165511	768915304	Top	1	648	347.89285714285717
169044	717719067	Biological_membrane	4817	757079672	Top	1	297	319.17857142857144
169657	709785994	Treaty_of_Waitangi	127254	767981105	Top	1	592	1038.2142857142858
169952	734092872	Anatomical_terms_of_location	168041	765741236	Top	1	1468	2225.9285714285716
170115	758561360	Fujian	88585	767721624	Top	1	3279	823.8571428571429
171169	754721171	Muʿtazila	171167	766840037	Top	1	248	263.4642857142857
171510	759222126	Halley's_Comet	46083	767109496	Top	1	567	3811.9285714285716
172256	763848011	Mass	19048	768368106	Top	0	5723	2326.0
173221	751070108	Beer	3363	765438493	Top	0	3508	3324.035714285714
173917	564883921	Haram_(site)	168762	762903670	Top	1	21	46.535714285714285
174402	727290221	Physical_constant	23205	763732795	Top	1	153	427.35714285714283
174631	745562168	Australian_Broadcasting_Corporation	3079	768494000	Top	1	8263	543.1428571428571
174634	623297696	Play_(theatre)	26744396	768476053	Top	1	2128	814.6428571428571
174912	732899820	RNA	25758	767624276	Top	1	2808	2217.714285714286
175972	660428455	Digital_audio	53712	748279292	Top	1	601	431.35714285714283
176312	712980530	Jesus_movement	159229	766453320	Top	1	381	222.78571428571428
177726	763557027	Magic_and_religion	177725	747581067	Top	1	264	112.10714285714286
179538	705134764	Game_show	13135	762980277	Top	1	2593	526.5
179618	732061129	Medieval_philosophy	26571896	768488896	Top	1	629	392.2142857142857
179659	745130278	Ash'ari	179645	768171584	Top	1	364	286.89285714285717
180113	719130191	Physical_Graffiti	50246	768964412	Top	0	252	1164.607142857143
180524	749745047	Reality_television	38539	768939519	Top	1	5711	1753.0357142857142
183341	740479732	Litre	18094	767436063	Top	1	1003	1015.4285714285714
183636	768388484	Dark_matter	8651	768877327	Top	1	819	5403.071428571428
184405	763579330	Writing	32977	768766159	Top	0	937	1359.857142857143
184871	757502819	Philippine–American_War	184779	768923954	Top	1	1244	2250.75
187338	744883709	Momentum	20431	763255127	Top	0	895	2669.6071428571427
188042	766672858	Revolver_(Beatles_album)	74983	768714286	Top	1	460	1800.357142857143
188507	768024473	Secondary_education	29498	765590329	Top	1	2341	1425.0
189544	676029473	Microeconomics	18819	768892322	Top	0	860	1373.9642857142858
191765	684247995	Docetism	8344	760937776	Top	1	94	274.42857142857144
192836	705791251	List_of_official_languages	192821	768344824	Top	1	59	317.42857142857144
195560	755807874	Civil_engineering	5762	768477673	Top	1	2814	3078.9285714285716
196234	765541722	Economy_of_the_United_States	32022	768898028	Top	1	1227	3235.8928571428573
196612	763915328	Ulysses_(novel)	53930	768406668	Top	1	978	2775.8214285714284
202477	767554751	Myanmar	19457	768928350	Top	1	13986	9780.357142857143
203991	766885651	New_Zealand_Wars	203959	765187055	Top	1	510	341.92857142857144
204162	754433893	Electric_field	41092	768167969	Top	1	1015	1786.2142857142858
204177	765182330	Magnetic_field	36563	768765651	Top	1	1703	3424.464285714286
205128	717329927	Drill	205126	767469758	Top	1	721	876.4642857142857
208930	512740510	Wang_Anshi	207508	759557224	Top	1	135	66.42857142857143
209721	514578956	History_of_San_Marino	27249	765995632	Top	1	2909	99.03571428571429
210548	766387113	Right-wing_politics	56522	768062614	Top	1	1568	2819.785714285714
211064	686143135	Declarative_programming	210648	756313563	Top	1	228	651.9642857142857
215939	730435487	Judiciary	59564	767825218	Top	0	2112	1305.392857142857
216008	693131218	Golden_Age	31497818	766980750	Top	1	438	808.8571428571429
217051	562185837	Sama_(Sufism)	217045	768389604	Top	0	549	143.96428571428572
217897	725064198	Willy_Brandt	49260	766220543	Top	1	941	806.25
221001	673079516	National_Intelligence_Service_of_Brazil	221000	717974422	Top	0	30	13.571428571428571
222667	729126322	Minas_Gerais	222651	767040012	Top	0	4158	515.25
225109	716226772	RC4	25831	759183383	Top	1	175	597.0357142857143
226679	765902678	Cell_membrane	33051527	756869027	Top	1	1394	2802.3571428571427
227332	666249189	Industrial_music	91199	768374328	Top	1	2542	597.6785714285714
228446	767451874	Africa	5334607	765416558	Top	1	21029	7053.857142857143
229540	679536514	Piauí	229536	764461905	Top	1	885	88.71428571428571
229545	686162578	Rio_Grande_do_Norte	229543	760391875	Top	1	970	112.07142857142857
229580	679537699	Mato_Grosso_do_Sul	229520	763668977	Top	1	1049	148.21428571428572
229739	766611712	Heathrow_Airport	13595	768958367	Top	0	1714	2408.6785714285716
232020	730769899	Political_philosophy	23040	764472424	Top	1	1671	952.3571428571429
232907	686942585	Guangdong	65109	767716420	Top	0	5657	1550.7857142857142
235121	732694877	Inflation	38286	767999446	Top	0	2035	2675.6071428571427
235846	469046168	Live_Free_or_Die	234920	760526083	Top	1	41	289.7857142857143
236296	766231042	Spider	28329803	767103111	Top	1	6518	3750.4285714285716
237411	717834742	Politician	55959	767924249	Top	1	20483	815.3571428571429
237618	763359008	Retail	183515	768931422	Top	0	3381	2403.035714285714
238910	759552487	Koala	17143	767371874	Top	0	715	3367.1071428571427
239535	743406414	All-America_Football_Conference	73669	762513964	Top	1	1068	304.64285714285717
239656	758799098	The_Kinks	3158351	767678179	Top	1	1516	2015.357142857143
240751	707843088	Raidió_Teilifís_Éireann	23685141	767254168	Top	1	2112	215.67857142857142
242914	615605240	Hebei	72664	768909827	Top	1	3695	494.35714285714283
244135	659948613	Ethiopian_Orthodox_Tewahedo_Church	229435	768912254	Top	1	991	964.6785714285714
244785	765496713	Grandmaster_(chess)	12304	768323984	Top	0	1897	1025.9642857142858
245374	762030809	Video_game	5363	768231641	Top	1	13784	4378.714285714285
246696	764771388	Suffrage	70322	768820103	Top	0	1455	1034.2857142857142
248561	717881995	Loan	208852	761224718	Top	1	915	946.6785714285714
250318	722628560	Juan_Manuel_Fangio	48532	757839321	Top	1	723	399.17857142857144
251875	721837853	Arabic_music	251740	768174866	Top	1	532	1469.7857142857142
253438	711531438	ElGamal_encryption	59458	765599528	Top	1	108	219.64285714285714
253927	474320391	Iwi	219984	765341065	Top	1	999	349.89285714285717
254030	741152661	History_of_rail_transport	211919	766731347	Top	1	130	833.7142857142857
256892	768033009	IP_address	14921	768956365	Top	1	1080	5795.428571428572
265372	676534514	Wolfe_Tone	171353	768273301	Top	0	134	278.0357142857143
265714	759875997	Olympus_Mons	22818	766388371	Top	0	198	1779.892857142857
265922	764065088	Administrative_divisions_of_Taiwan	165411	768955611	Top	1	326	72.96428571428571
271265	512138525	Radio_propagation	271195	765165526	Top	1	436	442.07142857142856
276558	764727755	Small_business	276495	765941012	Top	1	503	979.4642857142857
282319	738441715	Led_Zeppelin_IV	50242	766588809	Top	1	293	1803.2142857142858
287187	768658132	Delhi	37756	768912356	Top	0	10027	5143.357142857143
288482	745167833	Gastrointestinal_tract	69720	768491672	Top	0	788	1464.5
294275	750945488	Chinese_Buddhism	226808	767142499	Top	1	2753	479.7857142857143
295334	699386205	Restaurant	26437	768570370	Top	1	3177	1271.142857142857
298987	752141739	Signal_transduction	28857	755334711	Top	1	886	746.7142857142857
299795	707211371	Snooker	27378	765747750	Top	1	2029	1911.6785714285713
303442	746492426	Internet_Protocol	15323	768113737	Top	1	1069	9721.607142857143
304764	728131072	Spanish_Empire	303062	768227839	Top	1	4064	2425.535714285714
308240	685579223	Zeroth_law_of_thermodynamics	262861	768869546	Top	1	140	586.1785714285714
309658	722926416	Isma'ilism	172701	768721997	Top	1	818	778.3571428571429
312313	750599607	Analytic_philosophy	159211	764339068	Top	0	1158	669.9285714285714
314024	764989322	Symbiosis	39626	768587566	Top	1	1026	1430.9285714285713
314322	717538102	Māori_culture	162883	768268680	Top	1	455	546.25
315236	760449994	Polyester	3508478	768296399	Top	0	1254	1811.857142857143
318323	756126550	Electoral_system_of_Australia	318313	765770658	Top	1	274	180.5
320494	746544297	Organic_chemistry	22208	768547547	Top	1	1846	1855.9285714285713
323299	717817427	Lipid_bilayer	158011	747451653	Top	0	268	731.2857142857143
324823	693100197	Management_information_system	237494	764590885	Top	1	207	1819.6785714285713
324948	496652301	Pierre_Savorgnan_de_Brazza	324682	764566895	Top	1	91	110.21428571428571
327866	755118781	Dov_Ber_of_Mezeritch	173229	768755199	Top	1	112	41.07142857142857
330762	685702011	Zohar	34471	768735068	Top	0	981	597.3928571428571
332179	609327955	Tiraspol	99484	768808161	Top	1	716	317.2857142857143
333736	759871346	Mukden_Incident	322123	760875560	Top	1	335	722.5357142857143
334191	590357547	Ballets_Russes	4802982	767492957	Top	1	667	374.10714285714283
336114	754791282	World_Chess_Championship	166667	768562730	Top	1	1043	1081.0714285714287
336751	765892657	Gout	55584	768956557	Top	1	918	5805.392857142857
337580	679641391	Municipalities_of_Brazil	214437	766213803	Top	1	4246	115.21428571428571
340804	764581899	U2	52780	768436721	Top	1	5079	4053.1785714285716
341047	750197851	Green_algae	341046	763716664	Top	0	1094	586.75
341526	412181542	Expendable_launch_system	49026	768386771	Top	1	289	172.60714285714286
342670	764293797	Optics	22483	766061826	Top	1	1422	1060.9285714285713
344637	749542055	List_of_inventors	75977	765954918	Top	1	102	1385.1785714285713
347030	743040769	Albanian_National_Awakening	291388	750324276	Top	1	535	61.714285714285715
347380	506148725	Jewish_Renewal	263185	768177362	Top	1	960	101.89285714285714
351869	762217326	Innovation	118450	765292160	Top	1	1076	1748.5714285714287
353139	698150009	CMOS	49420	763786864	Top	0	858	1624.1785714285713
358802	710974544	Hymenoptera	13974	760349484	Top	1	6664	545.2857142857143
362838	752966525	Antiseptic	65555	765179913	Top	1	528	926.2857142857143
364343	733412793	Jesus_in_Christianity	364322	768757560	Top	1	1019	732.7142857142857
364376	745391799	Atlanta_metropolitan_area	18950419	764994373	Top	0	1024	819.8214285714286
364605	768333840	Wahhabism	159040	768808968	Top	1	877	3815.6428571428573
365637	615527925	History_of_Iraq	14664	768919365	Top	1	513	402.89285714285717
370660	746572854	Bat_Out_of_Hell	370650	768567466	Top	1	189	901.5
371024	756113395	Elections_in_New_Zealand	370181	767729725	Top	1	412	88.71428571428571
371397	749579733	Cardiff	5882	767641924	Top	1	8648	2150.75
372179	742345946	Phylogenetic_tree	149326	761728432	Top	1	662	1088.4285714285713
378326	747799036	Odysseus	22537	767110290	Top	1	1331	2364.5
382157	767564119	Phytoplankton	50557	766957821	Top	0	787	1023.5357142857143
383099	696201460	Estonian_language	10223	768100619	Top	1	2787	615.5714285714286
391315	754192284	New_Zealand_state_highway_network	310318	761306864	Top	1	138	31.928571428571427
393933	615765124	Computational_chemistry	6019	748819293	Top	0	502	286.42857142857144
394503	707184479	Electric_charge	9804	764149929	Top	0	941	1871.392857142857
397543	765846586	Travel	155747	764898210	Top	0	1153	2065.8214285714284
400840	768650418	Contract	19280537	768733780	Top	1	2603	1601.0714285714287
404585	755389662	Left–right_politics	356041	768800725	Top	1	89	3048.8928571428573
404984	738292681	Ecclesiastes	9910	762122194	Top	1	612	1210.5714285714287
407217	528147644	Off-road_transport	407216	684295180	Top	1	2	15.821428571428571
407304	744809940	Southern_California	62520	767915591	Top	0	5000	1310.1785714285713
408549	688678069	Outline_of_spirituality	405816	753271397	Top	1	52	36.25
412316	684485354	Stagecraft	324276	767879650	Top	0	250	130.10714285714286
418062	751648719	Tsar_Bomba	92214	768761419	Top	1	129	4228.142857142857
419035	709339993	Salah	40331813	768810843	Top	1	893	1271.1785714285713
419123	759111326	Genotype	12796	768430868	Top	1	595	1135.4642857142858
422655	513061262	Dick_Tiger	342077	750148989	Top	0	130	133.14285714285714
422946	703300533	Physical_chemistry	23635	760144039	Top	1	840	472.07142857142856
428292	488770766	Medieval_architecture	232479	768008911	Top	1	431	254.64285714285714
431673	671382110	Mountaineering	20341	767250628	Top	1	1527	757.9642857142857
435057	728438743	Russian_literature	106409	765558925	Top	1	988	439.25
435817	734188349	History_of_Mongolia	23384299	767672441	Top	1	581	327.0357142857143
437376	762195621	Business	39206	768693878	Top	1	4269	3261.214285714286
438250	682602003	States_of_Nigeria	226734	766931586	Top	0	1540	570.9642857142857
448561	759333532	Georgian_scripts	448560	768577758	Top	1	760	779.75
453382	745894145	Azerbaijani_language	192825	768947736	Top	1	3485	701.3214285714286
454924	704315819	Latter_Day_Saint_movement	420883	768977124	Top	1	1699	721.8571428571429
455850	733894384	Chef	279684	768308452	Top	1	1465	1216.0
458917	748211027	Hard_disk_drive	13777	768869646	Top	1	1126	4710.571428571428
460107	545852195	State_highways_in_California	459275	737160801	Top	1	375	53.785714285714285
466366	749629031	Chief_executive_officer	52234	768378643	Top	1	7042	3046.0
466680	573440409	Greater_London_Council	61268	745677366	Top	1	1326	147.39285714285714
469883	619647962	Imperative_programming	197847	760492701	Top	1	405	963.1785714285714
469930	664761538	SM-65_Atlas	101396	768106459	Top	1	1133	313.82142857142856
471111	693417577	Ballet	49733	768257875	Top	1	3236	1456.392857142857
475660	658287519	Lemur	477917	764060134	Top	1	573	1716.7857142857142
476718	674823040	Twelver	18369071	765873803	Top	1	1144	618.1071428571429
481550	767877430	Encryption	10294	768289834	Top	1	1116	1622.0714285714287
484749	686898576	Block_cipher_mode_of_operation	160202	758793932	Top	1	218	1230.107142857143
486401	755438012	Eckankar	380782	763798552	Top	1	371	397.9642857142857
488295	760692702	Gorilla	12546	767654078	Top	1	1125	3132.8571428571427
490847	768676262	Human_brain	490620	768908953	Top	1	1643	3662.25
492493	711385956	List_of_official_languages_by_country_and_territory	320521	767749494	Top	1	5	121.46428571428571
497314	762333257	Baboon	20913273	764724381	Top	1	446	1159.25
497469	751347261	Cinema_of_India	402402	768790616	Top	1	6110	1777.2142857142858
498425	696450967	Geography_of_Africa	1854	767722279	Top	1	184	439.2857142857143
499318	744274398	Anhui	105059	768040748	Top	1	2641	430.07142857142856
501275	756080319	Referee_(association_football)	501260	766768008	Top	1	4406	328.92857142857144
501495	625180682	Jiangsu	166412	768040431	Top	1	3890	702.2142857142857
505790	728158240	Syriac_Orthodox_Church	219283	768829367	Top	1	756	494.32142857142856
